number,value,datetime_start,datetime_complete,duration,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,state
108,-0.578969099929025,2026-05-08 11:23:09.937100,2026-05-08 11:23:10.172263,0 days 00:00:00.235163,3,0.05,0.02,0.6,0.08,50,20,0.8,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
109,-0.578969099929025,2026-05-08 11:23:10.186139,2026-05-08 11:23:10.425563,0 days 00:00:00.239424,3,0.05,0.01,0.6,0.08,30,20,0.65,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
110,-0.5923203217846534,2026-05-08 11:23:10.438650,2026-05-08 11:23:10.583628,0 days 00:00:00.144978,4,0.03,0.01,0.6,0.08,50,20,0.5,,,,,PRUNED
111,-0.578969099929025,2026-05-08 11:23:10.596456,2026-05-08 11:23:10.861248,0 days 00:00:00.264792,3,0.05,0.01,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
112,-0.6231503240990874,2026-05-08 11:23:10.878272,2026-05-08 11:23:11.034007,0 days 00:00:00.155735,3,0.05,0.01,0.6,0.16,50,10,0.5,,,,,PRUNED
113,-0.5901101001234356,2026-05-08 11:23:11.050154,2026-05-08 11:23:11.207322,0 days 00:00:00.157168,3,0.05,0.01,0.6,0.12,50,20,0.8,,,,,PRUNED
114,-0.5928193994794824,2026-05-08 11:23:11.223683,2026-05-08 11:23:11.405539,0 days 00:00:00.181856,3,0.05,0.01,0.6,0.08,50,5,0.8,,,,,PRUNED
115,-0.5901101001234356,2026-05-08 11:23:11.422322,2026-05-08 11:23:11.557477,0 days 00:00:00.135155,3,0.05,0.01,0.6,0.12,30,20,0.5,,,,,PRUNED
116,-0.5927185030454039,2026-05-08 11:23:11.573170,2026-05-08 11:23:11.708582,0 days 00:00:00.135412,3,0.05,0.01,0.45,0.08,50,5,0.5,,,,,PRUNED
117,-0.6314822235719273,2026-05-08 11:23:11.721339,2026-05-08 11:23:11.854267,0 days 00:00:00.132928,3,0.05,0.01,0.6,0.08,10,20,0.5,,,,,PRUNED
